,Date,User,IsVerified,Tweet
205,2022-03-04 03:48:46+00:00,AnupmaK29706249,False,"RT @PMishra_BJP: प्रधानमंत्री श्री Narendra Modi के 4 मार्च, 2022 को उत्तर प्रदेश में सार्वजनिक कार्यक्रम।

 लाइव देखें 

• https://t.co/PZ…"
206,2022-03-04 03:48:43+00:00,asphak_786,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
207,2022-03-04 03:48:38+00:00,DheerajBinjola,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
208,2022-03-04 03:48:38+00:00,tauba___tauba,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
209,2022-03-04 03:48:23+00:00,kmlshdbh,False,"RT @HariSolankiBJP: ""हम युद्ध के इस संकट में फंसे सभी भारतवासियों को स्वदेश वापस लाने के लिए दिन रात काम कर रहे हैं।

यह सुनिश्चित करने में…"
210,2022-03-04 03:48:20+00:00,ShAf677,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
211,2022-03-04 03:48:17+00:00,HariomPareta6,False,"RT @Welfare4Poor: #Modi_Job_Do Do you agree or Not Narendra Modi Useless PM, BJP worst Govt they have nothing to do for People's job and em…"
212,2022-03-04 03:48:12+00:00,ShoaibSshoaib69,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
213,2022-03-04 03:47:59+00:00,Saurabh06897482,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
214,2022-03-04 03:47:58+00:00,imthii1,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
215,2022-03-04 03:47:52+00:00,QQ_Being,False,"RT @yippeekiyay_dk: Good morning

Daily reminder : Sanghis are NOT Hindus. Narendra Modi is NOT India.

And Indian news anchors are NOT jou…"
216,2022-03-04 03:47:52+00:00,carolynbunker9,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
217,2022-03-04 03:47:49+00:00,Vikram_singh75,False,"RT @INCGhogha: I am ashamed that my PM is Narendra Modi.

#BesharmPracharMantri https://t.co/hPDjaUo4CX"
218,2022-03-04 03:47:36+00:00,Sami001Haq,False,RT @KremlinRussia_E: Telephone conversation with Prime Minister of India Narendra Modi https://t.co/KDpmxPDN9u
